Username: player1
Created @ 2020-08-09T20:01:32.652162700
Password:  1234


__SIGN IN__ | @ 2020-08-09T20:01:32.784807900 | Message: No Message
__SIGN IN__ | @ 2020-08-09T20:01:44.871919900 | Message: No Message
__ROOM CHANGE__ | @ 2020-08-09T20:01:45.319284300 | Message: home
__SIGN IN__ | @ 2020-08-09T20:03:55.133574900 | Message: No Message
__ROOM CHANGE__ | @ 2020-08-09T20:03:56.012472500 | Message: home
__BUTTON CLICK__ | @ 2020-08-09T20:03:57.552273 | Message: button -> Ranks
__ROOM CHANGE__ | @ 2020-08-09T20:03:57.735867 | Message: Ranks
__SIGN IN__ | @ 2020-08-09T20:05:05.696142700 | Message: No Message
__ROOM CHANGE__ | @ 2020-08-09T20:05:06.535069 | Message: home
__BUTTON CLICK__ | @ 2020-08-09T20:05:07.743743500 | Message: button -> Ranks
__ROOM CHANGE__ | @ 2020-08-09T20:05:07.938499300 | Message: Ranks
__SIGN IN__ | @ 2020-08-09T20:06:39.396928800 | Message: No Message
__ROOM CHANGE__ | @ 2020-08-09T20:06:40.252508100 | Message: home
__BUTTON CLICK__ | @ 2020-08-09T20:06:41.405225200 | Message: button -> Ranks
__ROOM CHANGE__ | @ 2020-08-09T20:06:41.598157100 | Message: Ranks
__SIGN IN__ | @ 2020-08-09T20:23:58.639738300 | Message: No Message
__ROOM CHANGE__ | @ 2020-08-09T20:23:59.257269100 | Message: home
__BUTTON CLICK__ | @ 2020-08-09T20:24:10.610264800 | Message: button -> Collections
__ROOM CHANGE__ | @ 2020-08-09T20:24:10.811367900 | Message: Collections
__BUTTON CLICK__ | @ 2020-08-09T20:24:12.563786700 | Message: Back
__BUTTON CLICK__ | @ 2020-08-09T20:24:14.811956100 | Message: Back Button
__ROOM CHANGE__ | @ 2020-08-09T20:24:14.964410600 | Message: home
__BUTTON CLICK__ | @ 2020-08-09T20:24:15.755026800 | Message: button -> Collections
__ROOM CHANGE__ | @ 2020-08-09T20:24:15.935348700 | Message: Collections
__BUTTON CLICK__ | @ 2020-08-09T20:24:17.638605300 | Message: New
__REPORT__ | @ 2020-08-09T20:24:18.764585500 | Message: Deck Name: New Deck0, hero : Hunter
__BUTTON CLICK__ | @ 2020-08-09T20:24:20.093996200 | Message: Back Button
__ROOM CHANGE__ | @ 2020-08-09T20:24:20.275464300 | Message: home
__BUTTON CLICK__ | @ 2020-08-09T20:24:21.087501900 | Message: button -> Collections
__ROOM CHANGE__ | @ 2020-08-09T20:24:21.251965200 | Message: Collections
__BUTTON CLICK__ | @ 2020-08-09T20:24:22.886080200 | Message: Set Active
__REPORT__ | @ 2020-08-09T20:24:22.886080200 | Message: Deck Activated -> Deck name : New Deck0
__BUTTON CLICK__ | @ 2020-08-09T20:24:24.676371900 | Message: Select
__BUTTON CLICK__ | @ 2020-08-09T20:24:24.676371900 | Message: Select Deck -> Deck Index : 0
__BUTTON CLICK__ | @ 2020-08-09T20:24:27.234090800 | Message: Add to deck button -> Swamp King Dred
__SUCCESSFUL ACTION__ | @ 2020-08-09T20:24:27.234090800 | Message: Card Swamp King Dred added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-09T20:24:27.379710400 | Message: Add to deck button -> Swamp King Dred
__SUCCESSFUL ACTION__ | @ 2020-08-09T20:24:27.379710400 | Message: Card Swamp King Dred added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-09T20:24:28.188292200 | Message: Add to deck button -> Scavenger's Ingenuity
__SUCCESSFUL ACTION__ | @ 2020-08-09T20:24:28.188292200 | Message: Card Scavenger's Ingenuity added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-09T20:24:28.355383300 | Message: Add to deck button -> Scavenger's Ingenuity
__SUCCESSFUL ACTION__ | @ 2020-08-09T20:24:28.355383300 | Message: Card Scavenger's Ingenuity added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-09T20:24:31.870767400 | Message: Add to deck button -> Ironfur Grizzly
__SUCCESSFUL ACTION__ | @ 2020-08-09T20:24:31.870767400 | Message: Card Ironfur Grizzly added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-09T20:24:32.018271500 | Message: Add to deck button -> Ironfur Grizzly
__SUCCESSFUL ACTION__ | @ 2020-08-09T20:24:32.018271500 | Message: Card Ironfur Grizzly added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-09T20:24:33.114140200 | Message: Add to deck button -> Lightwarden
__SUCCESSFUL ACTION__ | @ 2020-08-09T20:24:33.115760800 | Message: Card Lightwarden added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-09T20:24:33.285384100 | Message: Add to deck button -> Lightwarden
__SUCCESSFUL ACTION__ | @ 2020-08-09T20:24:33.295411300 | Message: Card Lightwarden added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-09T20:24:33.977611100 | Message: Add to deck button -> Sprint
__SUCCESSFUL ACTION__ | @ 2020-08-09T20:24:33.984682100 | Message: Card Sprint added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-09T20:24:34.127133100 | Message: Add to deck button -> Sprint
__SUCCESSFUL ACTION__ | @ 2020-08-09T20:24:34.127133100 | Message: Card Sprint added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-09T20:24:34.442815 | Message: Add to deck button -> Pharaoh's blessing
__SUCCESSFUL ACTION__ | @ 2020-08-09T20:24:34.442815 | Message: Card Pharaoh's blessing added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-09T20:24:34.597999900 | Message: Add to deck button -> Pharaoh's blessing
__SUCCESSFUL ACTION__ | @ 2020-08-09T20:24:34.597999900 | Message: Card Pharaoh's blessing added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-09T20:24:35.539969400 | Message: Add to deck button -> Book of specters
__SUCCESSFUL ACTION__ | @ 2020-08-09T20:24:35.539969400 | Message: Card Book of specters added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-09T20:24:35.711526300 | Message: Add to deck button -> Book of specters
__SUCCESSFUL ACTION__ | @ 2020-08-09T20:24:35.712718900 | Message: Card Book of specters added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-09T20:24:36.343350600 | Message: Add to deck button -> Arcane Missiles
__SUCCESSFUL ACTION__ | @ 2020-08-09T20:24:36.343350600 | Message: Card Arcane Missiles added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-09T20:24:36.527958800 | Message: Add to deck button -> Arcane Missiles
__SUCCESSFUL ACTION__ | @ 2020-08-09T20:24:36.527958800 | Message: Card Arcane Missiles added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-09T20:24:37.459073500 | Message: Back
__BUTTON CLICK__ | @ 2020-08-09T20:24:38.707121800 | Message: Back Button
__ROOM CHANGE__ | @ 2020-08-09T20:24:38.898925300 | Message: home
__BUTTON CLICK__ | @ 2020-08-09T20:24:39.728224500 | Message: button -> Collections
__ROOM CHANGE__ | @ 2020-08-09T20:24:39.935816500 | Message: Collections
__BUTTON CLICK__ | @ 2020-08-09T20:24:45.924775900 | Message: Select
__BUTTON CLICK__ | @ 2020-08-09T20:24:45.924775900 | Message: Select Deck -> Deck Index : 0
__BUTTON CLICK__ | @ 2020-08-09T20:24:48.344033500 | Message: Back Button
__ROOM CHANGE__ | @ 2020-08-09T20:24:48.540744700 | Message: home
__BUTTON CLICK__ | @ 2020-08-09T20:25:27.399379800 | Message: button -> Ranks
__ROOM CHANGE__ | @ 2020-08-09T20:25:27.618978400 | Message: Ranks
__BUTTON CLICK__ | @ 2020-08-09T20:25:29.081888200 | Message: Back Button
__ROOM CHANGE__ | @ 2020-08-09T20:25:29.194501800 | Message: home
__BUTTON CLICK__ | @ 2020-08-09T20:25:30.790992400 | Message: button -> Local Play
__SUCCESSFUL ACTION__ | @ 2020-08-09T20:25:30.791675200 | Message: Play Access Granted
__GAME REPORT__ | @ 2020-08-09T20:25:30.844891300 | Message: Game Begins
__GAME REPORT__ | @ 2020-08-09T20:25:30.844891300 | Message: Game Begins
__ROOM CHANGE__ | @ 2020-08-09T20:25:30.961810 | Message: play
__GAME REPORT__ | @ 2020-08-09T20:25:32.319346500 | Message: Activated Passive -> Free Power
__GAME REPORT__ | @ 2020-08-09T20:25:32.319346500 | Message: Activated Passive -> Free Power
__GAME REPORT__ | @ 2020-08-09T20:25:37.941868100 | Message: Activated Passive -> Mana Jump
__GAME REPORT__ | @ 2020-08-09T20:25:37.942569700 | Message: Activated Passive -> Mana Jump
__EFFECTS VISITED__ | @ 2020-08-09T20:25:37.942569700 | Message: Effect: HeroPowerModifier{addedMana=-1, usageNumber=2, sourcePlayerIndex=1}
__EFFECTS VISITED__ | @ 2020-08-09T20:25:37.942569700 | Message: Effect: ManaJump{addedMana=1, sourcePlayerIndex=2}
__GAME REPORT__ | @ 2020-08-09T20:25:37.942569700 | Message: Shuffling Cards...
__GAME REPORT__ | @ 2020-08-09T20:25:37.942569700 | Message: Shuffling Cards...
__GAME REPORT__ | @ 2020-08-09T20:25:43.719846900 | Message: Giving players starting cards
__GAME REPORT__ | @ 2020-08-09T20:25:43.719846900 | Message: Giving players starting cards
__GAME REPORT__ | @ 2020-08-09T20:25:43.719846900 | Message: Draw Card -> Ironfur Grizzly
__GAME REPORT__ | @ 2020-08-09T20:25:43.719846900 | Message: Draw Card -> Ironfur Grizzly
__GAME REPORT__ | @ 2020-08-09T20:25:43.720848 | Message: Draw Card -> Sprint
__GAME REPORT__ | @ 2020-08-09T20:25:43.720848 | Message: Draw Card -> Sprint
__GAME REPORT__ | @ 2020-08-09T20:25:43.720848 | Message: Draw Card -> Arcane Missiles
__GAME REPORT__ | @ 2020-08-09T20:25:43.720848 | Message: Draw Card -> Arcane Missiles
__GAME REPORT__ | @ 2020-08-09T20:25:43.720848 | Message: Draw Card -> Swamp King Dred
__GAME REPORT__ | @ 2020-08-09T20:25:43.720848 | Message: Draw Card -> Swamp King Dred
__GAME REPORT__ | @ 2020-08-09T20:25:43.720848 | Message: Draw Card -> Book of specters
__GAME REPORT__ | @ 2020-08-09T20:25:43.720848 | Message: Draw Card -> Book of specters
__GAME REPORT__ | @ 2020-08-09T20:25:43.722599200 | Message: Turn Begins
__GAME REPORT__ | @ 2020-08-09T20:25:43.722764 | Message: Turn Begins
__GAME REPORT__ | @ 2020-08-09T20:25:46.097151900 | Message: Draw Card -> Swamp King Dred
__GAME REPORT__ | @ 2020-08-09T20:25:46.097151900 | Message: Draw Card -> Swamp King Dred
__GAME REPORT__ | @ 2020-08-09T20:25:46.097151900 | Message: Turn Begins
__GAME REPORT__ | @ 2020-08-09T20:25:46.097151900 | Message: Turn Begins
__GAME REPORT__ | @ 2020-08-09T20:25:46.428133900 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-08-09T20:25:46.428133900 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-08-09T20:25:48.614890300 | Message: Draw Card -> Lightwarden
__GAME REPORT__ | @ 2020-08-09T20:25:48.614890300 | Message: Draw Card -> Lightwarden
__GAME REPORT__ | @ 2020-08-09T20:25:48.614890300 | Message: Turn Begins
__GAME REPORT__ | @ 2020-08-09T20:25:48.614890300 | Message: Turn Begins
__GAME REPORT__ | @ 2020-08-09T20:25:48.800643900 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-08-09T20:25:48.800643900 | Message: Turn Ended.
__REPORT__ | @ 2020-08-09T20:25:50.890972700 | Message: Clicked On Point: java.awt.Point[x=483,y=9], P1Hand
__REPORT__ | @ 2020-08-09T20:25:50.890972700 | Message: Showing Card Chooser
