Username: player1
Created @ 2020-08-08T20:07:24.646522700
Password:  1234


__SIGN IN__ | @ 2020-08-08T20:07:24.662542800 | Message: No Message
__ROOM CHANGE__ | @ 2020-08-08T20:07:25.201910300 | Message: home
__BUTTON CLICK__ | @ 2020-08-08T20:07:28.831926800 | Message: button -> Collections
__ROOM CHANGE__ | @ 2020-08-08T20:07:29.165564300 | Message: Collections
__BUTTON CLICK__ | @ 2020-08-08T20:07:31.274429500 | Message: New
__REPORT__ | @ 2020-08-08T20:07:35.133995900 | Message: Deck Name: New Deck0, hero : Priest
__BUTTON CLICK__ | @ 2020-08-08T20:07:37.581816700 | Message: Back Button
__ROOM CHANGE__ | @ 2020-08-08T20:07:37.726866200 | Message: home
__BUTTON CLICK__ | @ 2020-08-08T20:07:38.944668700 | Message: button -> Collections
__ROOM CHANGE__ | @ 2020-08-08T20:07:39.122917900 | Message: Collections
__BUTTON CLICK__ | @ 2020-08-08T20:07:41.767518700 | Message: Set Active
__REPORT__ | @ 2020-08-08T20:07:41.767518700 | Message: Deck Activated -> Deck name : New Deck0
__BUTTON CLICK__ | @ 2020-08-08T20:07:43.839822200 | Message: Select
__BUTTON CLICK__ | @ 2020-08-08T20:07:43.839822200 | Message: Select Deck -> Deck Index : 0
__BUTTON CLICK__ | @ 2020-08-08T20:07:47.845658 | Message: Add to deck button -> Swamp King Dred
__ERROR__ | @ 2020-08-08T20:07:47.845658 | Message: Message : Deck hero and card class does not match
__BUTTON CLICK__ | @ 2020-08-08T20:07:51.168365600 | Message: Add to deck button -> Polymorph
__ERROR__ | @ 2020-08-08T20:07:51.168365600 | Message: Message : Deck hero and card class does not match
__BUTTON CLICK__ | @ 2020-08-08T20:07:54.396050700 | Message: Add to deck button -> High Priest Amet
__SUCCESSFUL ACTION__ | @ 2020-08-08T20:07:54.396050700 | Message: Card High Priest Amet added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-08T20:07:55.226261700 | Message: Add to deck button -> High Priest Amet
__SUCCESSFUL ACTION__ | @ 2020-08-08T20:07:55.227604700 | Message: Card High Priest Amet added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-08T20:07:56.307568200 | Message: Add to deck button -> Temple Enforcer
__SUCCESSFUL ACTION__ | @ 2020-08-08T20:07:56.307568200 | Message: Card Temple Enforcer added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-08T20:07:56.569250600 | Message: Add to deck button -> Temple Enforcer
__SUCCESSFUL ACTION__ | @ 2020-08-08T20:07:56.569250600 | Message: Card Temple Enforcer added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-08T20:08:01.318348200 | Message: Add to deck button -> Ironfur Grizzly
__SUCCESSFUL ACTION__ | @ 2020-08-08T20:08:01.318348200 | Message: Card Ironfur Grizzly added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-08T20:08:01.616241500 | Message: Add to deck button -> Ironfur Grizzly
__SUCCESSFUL ACTION__ | @ 2020-08-08T20:08:01.618502800 | Message: Card Ironfur Grizzly added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-08T20:08:02.301188300 | Message: Add to deck button -> Hir'eek the Bat
__SUCCESSFUL ACTION__ | @ 2020-08-08T20:08:02.301188300 | Message: Card Hir'eek the Bat added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-08T20:08:02.613629400 | Message: Add to deck button -> Hir'eek the Bat
__SUCCESSFUL ACTION__ | @ 2020-08-08T20:08:02.613629400 | Message: Card Hir'eek the Bat added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-08T20:08:03.668656100 | Message: Add to deck button -> Light's Justice
__SUCCESSFUL ACTION__ | @ 2020-08-08T20:08:03.668656100 | Message: Card Light's Justice added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-08T20:08:03.997983100 | Message: Add to deck button -> Light's Justice
__SUCCESSFUL ACTION__ | @ 2020-08-08T20:08:03.997983100 | Message: Card Light's Justice added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-08T20:08:04.716344700 | Message: Add to deck button -> Lightwarden
__SUCCESSFUL ACTION__ | @ 2020-08-08T20:08:04.716344700 | Message: Card Lightwarden added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-08T20:08:05.014105600 | Message: Add to deck button -> Lightwarden
__SUCCESSFUL ACTION__ | @ 2020-08-08T20:08:05.014105600 | Message: Card Lightwarden added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-08T20:08:06.143035900 | Message: Add to deck button -> Healing Touch
__SUCCESSFUL ACTION__ | @ 2020-08-08T20:08:06.143035900 | Message: Card Healing Touch added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-08T20:08:06.406253200 | Message: Add to deck button -> Healing Touch
__SUCCESSFUL ACTION__ | @ 2020-08-08T20:08:06.406253200 | Message: Card Healing Touch added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-08T20:08:08.267650 | Message: Back
__BUTTON CLICK__ | @ 2020-08-08T20:08:10.651208500 | Message: Back Button
__ROOM CHANGE__ | @ 2020-08-08T20:08:10.838151300 | Message: home
__BUTTON CLICK__ | @ 2020-08-08T20:08:11.869638900 | Message: button -> Collections
__ROOM CHANGE__ | @ 2020-08-08T20:08:12.063982100 | Message: Collections
__BUTTON CLICK__ | @ 2020-08-08T20:08:14.213794300 | Message: Select
__BUTTON CLICK__ | @ 2020-08-08T20:08:14.213794300 | Message: Select Deck -> Deck Index : 0
__BUTTON CLICK__ | @ 2020-08-08T20:08:17.210166400 | Message: Back
__BUTTON CLICK__ | @ 2020-08-08T20:08:18.315003900 | Message: Back Button
__ROOM CHANGE__ | @ 2020-08-08T20:08:18.491541400 | Message: home
__BUTTON CLICK__ | @ 2020-08-08T20:08:34.263154 | Message: button -> Play Online
__SUCCESSFUL ACTION__ | @ 2020-08-08T20:08:34.264625500 | Message: Play Access Granted
__GAME REPORT__ | @ 2020-08-08T20:08:37.415111200 | Message: Game Begins
__ROOM CHANGE__ | @ 2020-08-08T20:08:37.530597300 | Message: play
__GAME REPORT__ | @ 2020-08-08T20:08:39.026691300 | Message: Activated Passive -> Nurse
__GAME REPORT__ | @ 2020-08-08T20:08:42.099802900 | Message: Activated Passive -> Warriors
__GAME REPORT__ | @ 2020-08-08T20:08:42.103127500 | Message: Shuffling Cards...
__GAME REPORT__ | @ 2020-08-08T20:08:49.071676100 | Message: Giving players starting cards
__GAME REPORT__ | @ 2020-08-08T20:08:49.072676400 | Message: Draw Card -> RaidLeader
__GAME REPORT__ | @ 2020-08-08T20:08:49.072676400 | Message: Draw Card -> Crazed Chemist
__GAME REPORT__ | @ 2020-08-08T20:08:49.072676400 | Message: Draw Card -> Ironfur Grizzly
__GAME REPORT__ | @ 2020-08-08T20:08:49.073140 | Message: Draw Card -> Healing Touch
__GAME REPORT__ | @ 2020-08-08T20:08:49.073140 | Message: Draw Card -> Pyroblast
__GAME REPORT__ | @ 2020-08-08T20:08:49.073140 | Message: Turn Begins
__REPORT__ | @ 2020-08-08T20:08:49.951641500 | Message: Clicked On Point: java.awt.Point[x=857,y=106], P2Board
__GAME REPORT__ | @ 2020-08-08T20:08:54.932174700 | Message: Draw Card -> High Priest Amet
__GAME REPORT__ | @ 2020-08-08T20:08:54.933190700 | Message: Turn Begins
__GAME REPORT__ | @ 2020-08-08T20:08:55.250849400 | Message: Turn Ended.
__SIGN IN__ | @ 2020-08-08T20:11:30.492101200 | Message: No Message
__ROOM CHANGE__ | @ 2020-08-08T20:11:31.403182500 | Message: home
__BUTTON CLICK__ | @ 2020-08-08T20:11:43.029147300 | Message: button -> Play Online
__SUCCESSFUL ACTION__ | @ 2020-08-08T20:11:43.029147300 | Message: Play Access Granted
__GAME REPORT__ | @ 2020-08-08T20:11:43.095650 | Message: Game Begins
__ROOM CHANGE__ | @ 2020-08-08T20:11:43.228606800 | Message: play
__GAME REPORT__ | @ 2020-08-08T20:11:44.756694500 | Message: Activated Passive -> Mana Jump
__GAME REPORT__ | @ 2020-08-08T20:11:47.816172600 | Message: Activated Passive -> Mana Jump
__EFFECTS VISITED__ | @ 2020-08-08T20:11:47.816172600 | Message: Effect: ManaJump{addedMana=1, sourcePlayerIndex=1}
__EFFECTS VISITED__ | @ 2020-08-08T20:11:47.816172600 | Message: Effect: DoubleSpellPowers{}
__EFFECTS VISITED__ | @ 2020-08-08T20:11:47.816172600 | Message: Effect: ManaJump{addedMana=1, sourcePlayerIndex=2}
__EFFECTS VISITED__ | @ 2020-08-08T20:11:47.816172600 | Message: Effect: AddCost{cost=-2, sourcePlayerIndex=2, filter=CardFilter{selectingCardMethod=DETERMINED_GROUP, cardGroup=FRIENDS_DECK_HAND, type=[Spell], cardClass=null, sourceCard=null}}, on Models: [models.cards.Spell@b96b3de, models.cards.Spell@21806229, models.cards.Spell@437428dc, models.cards.Spell@7b8b9df6]
__GAME REPORT__ | @ 2020-08-08T20:11:47.816172600 | Message: Shuffling Cards...
__GAME REPORT__ | @ 2020-08-08T20:11:53.847210600 | Message: Giving players starting cards
__GAME REPORT__ | @ 2020-08-08T20:11:53.848207600 | Message: Draw Card -> Light's Justice
__GAME REPORT__ | @ 2020-08-08T20:11:53.848207600 | Message: Draw Card -> High Priest Amet
__GAME REPORT__ | @ 2020-08-08T20:11:53.848535100 | Message: Draw Card -> Healing Touch
__GAME REPORT__ | @ 2020-08-08T20:11:53.848535100 | Message: Draw Card -> Pyroblast
__GAME REPORT__ | @ 2020-08-08T20:11:53.848811200 | Message: Draw Card -> Light's Justice
__GAME REPORT__ | @ 2020-08-08T20:11:53.850534700 | Message: Turn Begins
__SIGN IN__ | @ 2020-08-08T20:22:01.522611200 | Message: No Message
__ROOM CHANGE__ | @ 2020-08-08T20:22:02.530388400 | Message: home
__BUTTON CLICK__ | @ 2020-08-08T20:22:10.325949400 | Message: button -> Play Online
__SUCCESSFUL ACTION__ | @ 2020-08-08T20:22:10.328891900 | Message: Play Access Granted
__GAME REPORT__ | @ 2020-08-08T20:22:10.401934500 | Message: Game Begins
__ROOM CHANGE__ | @ 2020-08-08T20:22:10.560430200 | Message: play
__GAME REPORT__ | @ 2020-08-08T20:22:11.810560300 | Message: Activated Passive -> Off Card
__GAME REPORT__ | @ 2020-08-08T20:22:13.191601 | Message: Activated Passive -> Nurse
