Username: player2
Created @ 2020-08-09T20:12:18.080256200
Password:  1234


__SIGN IN__ | @ 2020-08-09T20:12:18.231391100 | Message: No Message
__ROOM CHANGE__ | @ 2020-08-09T20:12:18.973180500 | Message: home
__BUTTON CLICK__ | @ 2020-08-09T20:12:20.536488900 | Message: button -> Ranks
__ROOM CHANGE__ | @ 2020-08-09T20:12:20.726586300 | Message: Ranks
__SIGN IN__ | @ 2020-08-12T20:37:54.644069 | Message: No Message
__ROOM CHANGE__ | @ 2020-08-12T20:37:55.422039500 | Message: home
__BUTTON CLICK__ | @ 2020-08-12T20:38:08.037677800 | Message: button -> Play Online
__ERROR__ | @ 2020-08-12T20:38:08.054617500 | Message: Message : Activate a deck in collections for playing
__BUTTON CLICK__ | @ 2020-08-12T20:38:11.807915600 | Message: button -> Collections
__ROOM CHANGE__ | @ 2020-08-12T20:38:12.303608400 | Message: Collections
__BUTTON CLICK__ | @ 2020-08-12T20:38:13.966854800 | Message: New
__REPORT__ | @ 2020-08-12T20:38:16.825074700 | Message: Deck Name: New Deck0, hero : Priest
__BUTTON CLICK__ | @ 2020-08-12T20:38:18.180876800 | Message: Back Button
__ROOM CHANGE__ | @ 2020-08-12T20:38:18.358442900 | Message: home
__BUTTON CLICK__ | @ 2020-08-12T20:38:19.118082800 | Message: button -> Collections
__ROOM CHANGE__ | @ 2020-08-12T20:38:19.309038600 | Message: Collections
__BUTTON CLICK__ | @ 2020-08-12T20:38:21.943436900 | Message: Set Active
__REPORT__ | @ 2020-08-12T20:38:21.944456400 | Message: Deck Activated -> Deck name : New Deck0
__BUTTON CLICK__ | @ 2020-08-12T20:38:23.464971900 | Message: Select
__BUTTON CLICK__ | @ 2020-08-12T20:38:23.464971900 | Message: Select Deck -> Deck Index : 0
__BUTTON CLICK__ | @ 2020-08-12T20:38:25.437225900 | Message: Add to deck button -> Fireball
__SUCCESSFUL ACTION__ | @ 2020-08-12T20:38:25.454228700 | Message: Card Fireball added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-12T20:38:25.608528 | Message: Add to deck button -> Fireball
__SUCCESSFUL ACTION__ | @ 2020-08-12T20:38:25.612989800 | Message: Card Fireball added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-12T20:38:25.881445200 | Message: Add to deck button -> Strength in Numbers
__SUCCESSFUL ACTION__ | @ 2020-08-12T20:38:25.881445200 | Message: Card Strength in Numbers added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-12T20:38:26.059798500 | Message: Add to deck button -> Strength in Numbers
__SUCCESSFUL ACTION__ | @ 2020-08-12T20:38:26.060560600 | Message: Card Strength in Numbers added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-12T20:38:26.628441200 | Message: Add to deck button -> Starfire
__SUCCESSFUL ACTION__ | @ 2020-08-12T20:38:26.628441200 | Message: Card Starfire added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-12T20:38:26.766394900 | Message: Add to deck button -> Starfire
__SUCCESSFUL ACTION__ | @ 2020-08-12T20:38:26.766394900 | Message: Card Starfire added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-12T20:38:27.201047800 | Message: Add to deck button -> Sorcerer's Apprentice
__SUCCESSFUL ACTION__ | @ 2020-08-12T20:38:27.213354100 | Message: Card Sorcerer's Apprentice added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-12T20:38:27.360162100 | Message: Add to deck button -> Sorcerer's Apprentice
__SUCCESSFUL ACTION__ | @ 2020-08-12T20:38:27.373154400 | Message: Card Sorcerer's Apprentice added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-12T20:38:27.811316800 | Message: Add to deck button -> Hir'eek the Bat
__SUCCESSFUL ACTION__ | @ 2020-08-12T20:38:27.811316800 | Message: Card Hir'eek the Bat added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-12T20:38:27.983786600 | Message: Add to deck button -> Hir'eek the Bat
__SUCCESSFUL ACTION__ | @ 2020-08-12T20:38:27.984758500 | Message: Card Hir'eek the Bat added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-12T20:38:28.801761800 | Message: Add to deck button -> Pyroblast
__SUCCESSFUL ACTION__ | @ 2020-08-12T20:38:28.816977700 | Message: Card Pyroblast added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-12T20:38:28.962730100 | Message: Add to deck button -> Pyroblast
__SUCCESSFUL ACTION__ | @ 2020-08-12T20:38:28.962730100 | Message: Card Pyroblast added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-12T20:38:29.264703600 | Message: Add to deck button -> Healing Touch
__SUCCESSFUL ACTION__ | @ 2020-08-12T20:38:29.280575900 | Message: Card Healing Touch added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-12T20:38:29.417868900 | Message: Add to deck button -> Healing Touch
__SUCCESSFUL ACTION__ | @ 2020-08-12T20:38:29.417868900 | Message: Card Healing Touch added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-12T20:38:29.721980500 | Message: Add to deck button -> AmaniWarBear
__SUCCESSFUL ACTION__ | @ 2020-08-12T20:38:29.721980500 | Message: Card AmaniWarBear added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-12T20:38:29.871022100 | Message: Add to deck button -> AmaniWarBear
__SUCCESSFUL ACTION__ | @ 2020-08-12T20:38:29.872409600 | Message: Card AmaniWarBear added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-12T20:38:31.907859500 | Message: Add to deck button -> High Priest Amet
__SUCCESSFUL ACTION__ | @ 2020-08-12T20:38:31.908194400 | Message: Card High Priest Amet added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-12T20:38:32.044329700 | Message: Add to deck button -> High Priest Amet
__SUCCESSFUL ACTION__ | @ 2020-08-12T20:38:32.053171600 | Message: Card High Priest Amet added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-12T20:38:32.619762600 | Message: Add to deck button -> Temple Enforcer
__SUCCESSFUL ACTION__ | @ 2020-08-12T20:38:32.628697700 | Message: Card Temple Enforcer added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-12T20:38:32.774082900 | Message: Add to deck button -> Temple Enforcer
__SUCCESSFUL ACTION__ | @ 2020-08-12T20:38:32.774082900 | Message: Card Temple Enforcer added to deck New Deck0
__BUTTON CLICK__ | @ 2020-08-12T20:38:33.524448900 | Message: Back
__BUTTON CLICK__ | @ 2020-08-12T20:38:35.054689500 | Message: Set Active
